company_name,website,full_address,director_or_founder,founded_year,email,phone,source_page,scrape_status
Polygon Technology,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Oyo,https://www.oyorooms.com/,,Ritesh Agarwal,,,01246201611,https://www.oyorooms.com/,partial
Dream11,https://www.dream11.com/,"Mumbai, India","Harsh Jain, Bhavit Sheth",2020,,,https://www.dream11.com/,ok
Netskope,,,"Sanjay Beri, Lebin Cheng",,,,https://www.wikidata.org/wiki/Q17082991,partial
Razorpay,https://razorpay.com,"Bengaluru, Karnataka, India","Harshil Mathur, Shashank Kumar",2014,partnerships@razorpay.com,,https://razorpay.com/partners/?intent=company,ok
Ola Consumer,http://www.olacabs.com/,,"Bhavish Aggarwal, Ankit Bhati",,media@olacabs.com,,http://www.olacabs.com/contact,partial
CRED,https://cred.club/,,Kunal Shah,,grievanceofficer@cred.club,02241484529,https://cred.club/legal/other-disclosures,partial
PharmEasy,,,Siddharth Shah,,,,https://www.wikidata.org/wiki/Q112892594,partial
Postman,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Swiggy,https://www.swiggy.com,"Bengaluru, India","Nandan Reddy, Sriharsha Majety",2014,,,https://www.wikidata.org/wiki/Q65944364,ok
PhonePe,https://www.phonepe.com,"Bengaluru, India","Sameer Nigam, Rahul Chari",,,08068727374,https://www.phonepe.com/grievance-policy/,ok
OfBusiness,,,"Bhuvan Gupta, Vasant Sridhar",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Ola Electric,https://olaelectric.com,,Bhavish Aggarwal,,ir@olaelectric.com,08068964050,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Pine Labs,https://www.pinelabs.com,,"Lokvir Kapoor, Rajul Garg",,,,https://www.pinelabs.com,partial
Meesho,https://meesho.com,"Bengaluru, Karnataka, India","Vidit Aatrey, Sanjeev Barnwal",,,,https://www.wikidata.org/wiki/Q55622683,ok
BrowserStack,http://browserstack.com,,"Ritesh Arora, Nakul Aggarwal",,,,http://browserstack.com,partial
ShareChat,https://sharechat.com/,,"Ankush Sachdeva, Bhanu Pratap Singh",,,202120222022,https://sharechat.com/about,partial
Digit Insurance,,,Kamesh Goyal,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
CARS24,https://www.cars24.com/,"Gurgaon, India",Vikram Chopra,2015,care@cars24.com,,https://www.cars24.com/contact/,ok
Upstox,,,"Ravi Kumar, Kavitha Subramanian",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Unacademy,http://www.unacademy.com/,,Gaurav Munjal,2015,press@unacademy.com,+918585858585,http://www.unacademy.com/about,ok
Eruditus,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Udaan,,,"Vaibhav Gupta, Amod Malviya",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Groww,https://groww.in,"Bengaluru, India","Lalit Keshre, Harsh Jain",2016,,+919108800000,https://groww.in/help/my-account/searchable/how-to-call-groww-customer-care,ok
BharatPe,https://www.bharatpe.com/,,Ashneer Grover,2018,,,https://www.wikidata.org/wiki/Q119616267,ok
Icertis,,,"Samir Bodas, Monish Darda.",,,,https://www.wikidata.org/wiki/Q28406980,partial
Urban Company,http://urbancompany.com,,,,,,http://urbancompany.com,partial
Infra.Market,,,"Aaditya Sharda, Souvik Sengupta",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Lenskart,https://www.lenskart.com/,"New Delhi, India",Peyush Bansal,2008,,,https://www.lenskart.com/,ok
MPL,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Druva,,,,,,,https://www.wikidata.org/wiki/Q96376660,partial
Zerodha,https://zerodha.com/,"Bengaluru, India","Nithin Kamath, Nikhil Kamath",2010,,+91951336997310,https://zerodha.com/contact/,ok
CoinSwitch Kuber,,,"Ashish Singhal, Vimal Sagar Tiwari",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
BillDesk,http://www.billdesk.com/,"Mumbai, India","M.N. Srinivasu, Ajay Kaushal",,,,http://www.billdesk.com/,ok
Spinny,,,"Niraj Singh, Ramanshu Mahaur",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
CureFit,,,"Mukesh Bansal, Ankit Nagori",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Molbio Diagnostics,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Mu Sigma,http://www.mu-sigma.com,"Bengaluru, India",Dhiraj Rajaram,2004,dsrecruitment@mu-sigma.com,+918071548000,http://www.mu-sigma.com/contact-us,ok
5ire,,,Pratik Gauri,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Zeta,,,"Bhavin Turakhia, Ramki Gaddipati",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
OneCard,,,"Anurag Sinha, Rupesh Kumar",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Chargebee,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Five Star Finance,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Gupshup,,,,,,,https://www.wikidata.org/wiki/Q55639833,partial
Pristyn Care,https://www.pristyncare.com/,"Gurgaon, India",,,help@pristyncare.com,+918065417867,https://www.pristyncare.com/company/contact/,partial
Rebel Foods,https://www.rebelfoods.com/,,,2011,info@rebelfoods.com,,https://www.rebelfoods.com/,ok
Zetwerk,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Innovaccer,http://www.innovaccer.com/,"San Francisco, India","Abhinav Shashank, Kanav Hasija",2012,,,http://www.innovaccer.com/,ok
Mamaearth,,,"Varun Alagh, Ghazal Alagh",,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
CarDekho,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
Droom,,,Sandeep Aggarwal,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
FirstCry,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
MindTickle,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
MyGlamm,,,,,,,https://en.wikipedia.org/wiki/List_of_unicorn_startup_companies,partial
